"","controller","condition","item","response","response_time","subject","group_G","reading_time","ambiguity_G","filled_gap_G"
"4","PictureAccept","exp2-2",41,1,"1476","Native 1","Native",1476,"Unambiguous","Non-Filled-Gap"
"12","PictureAccept","exp2-1",37,0,"2984","Native 1","Native",2984,"Ambiguous","Non-Filled-Gap"
"20","PictureAccept","exp3-2",44,0,"2401","Native 1","Native",2401,"Unambiguous","Filled-Gap"
"24","PictureAccept","exp2-1",28,1,"2039","Native 1","Native",2039,"Ambiguous","Non-Filled-Gap"
"28","PictureAccept","exp2-2",35,1,"2446","Native 1","Native",2446,"Unambiguous","Non-Filled-Gap"
"36","PictureAccept","exp3-2",52,1,"2273","Native 1","Native",2273,"Unambiguous","Filled-Gap"
"48","PictureAccept","exp2-3",33,1,"2067","Native 1","Native",2067,"Control","Non-Filled-Gap"
"68","PictureAccept","exp3-2",54,1,"2502","Native 1","Native",2502,"Unambiguous","Filled-Gap"
"72","PictureAccept","exp2-2",26,1,"2503","Native 1","Native",2503,"Unambiguous","Non-Filled-Gap"
"76","PictureAccept","exp3-2",50,1,"2667","Native 1","Native",2667,"Unambiguous","Filled-Gap"
"84","PictureAccept","exp3-2",46,1,"1857","Native 1","Native",1857,"Unambiguous","Filled-Gap"
"88","PictureAccept","exp2-1",34,0,"4702","Native 1","Native",4702,"Ambiguous","Non-Filled-Gap"
"92","PictureAccept","exp2-3",36,0,"1898","Native 1","Native",1898,"Control","Non-Filled-Gap"
"96","PictureAccept","exp2-1",40,0,"1578","Native 1","Native",1578,"Ambiguous","Non-Filled-Gap"
"104","PictureAccept","exp2-3",30,1,"2013","Native 1","Native",2013,"Control","Non-Filled-Gap"
"108","PictureAccept","exp2-1",31,0,"2354","Native 1","Native",2354,"Ambiguous","Non-Filled-Gap"
"112","PictureAccept","exp2-3",39,1,"4161","Native 1","Native",4161,"Control","Non-Filled-Gap"
"124","PictureAccept","exp3-1",43,1,"2394","Native 1","Native",2394,"Ambiguous","Filled-Gap"
"128","PictureAccept","exp2-3",42,1,"2036","Native 1","Native",2036,"Control","Non-Filled-Gap"
